scenario,wind_condition,transmission_setting,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot
base2,windvariability,fixed,DE0 386,9.0735161,49.3119354,1087.3566828009791,1112.25502745438,8.520047910703274e-06,3.5599187564697025e-07,2025-10-06 11:00:00
base2,windvariability,fixed,DE0 386 battery,9.0735161,49.3119354,1081.924673225015,1089.772268605714,8.514824091011106e-06,3.550969536940974e-07,2025-10-06 11:00:00
base2,windvariability,fixed,DE0 386 H2,9.0735161,49.3119354,1044.7673395157692,1044.7673407317122,8.478688291403831e-06,3.5327946643202123e-07,2025-10-06 10:00:00
base2,windvariability,fixed,DE0 190,8.44545065,48.9860823,580.9645365452437,598.289025776526,8.062671380678396e-06,3.3656284339955156e-07,2025-10-06 10:00:00
base2,windvariability,fixed,DE0 190 battery,8.44545065,48.9860823,578.4656278624129,586.190828758302,8.060557014259096e-06,3.3613304026590296e-07,2025-10-06 10:00:00
base2,windy,fixed,DE0 386 H2,9.0735161,49.3119354,206.53373363472406,206.5337485692636,1.1272101136025633e-06,4.69684820766912e-08,2025-10-26 11:00:00
base2,windy,fixed,DE0 386,9.0735161,49.3119354,203.51953073672016,253.91588328667888,1.1271592450210185e-06,4.720267072622634e-08,2025-10-26 16:00:00
base2,windy,fixed,DE0 386 battery,9.0735161,49.3119354,202.49224712626165,216.17696003866854,1.127138779816194e-06,4.703027521565914e-08,2025-10-26 14:00:00
base2,windy,fixed,DE0 190 H2,8.44545065,48.9860823,120.44693400597085,120.4469699476824,1.1173856410981307e-06,4.6559226165949225e-08,2025-10-26 10:00:00
base2,windy,fixed,DE0 190,8.44545065,48.9860823,113.94283606893104,153.91829823533055,1.1169199285158788e-06,4.672098155059841e-08,2025-10-26 17:00:00
scenario1,windvariability,fixed,DE0 330,8.31305358,49.00906475,99818.92819267458,100000.01011344302,31106.969189026124,1891.4213904707133,2025-10-06 08:00:00
scenario1,windvariability,fixed,DE0 17,8.24847389,48.84631517,99813.69900279061,100000.00635835771,3553.4511831870796,234.76167254417905,2025-10-06 09:00:00
scenario1,windvariability,fixed,DE0 69,11.81301418,48.22131789,98811.4625693868,100000.00623644564,3526.6821442935257,304.7679751972601,2025-10-06 17:00:00
scenario1,windvariability,fixed,DE0 85,7.90843964,48.50156581,99581.09963024808,100000.00481507706,2738.5511473074994,206.4712317573732,2025-10-06 17:00:00
scenario1,windvariability,fixed,DE0 177,8.1001077,48.7070611,99808.37117317044,100000.00292500769,2204.3422526670115,149.25564910438055,2025-10-06 06:00:00
scenario1,windy,fixed,DE0 326 H2,8.51161768,49.29346968,70.70792424792678,70.70794124419203,7.63366973810245e-08,3.1806961409993522e-09,2025-10-26 13:00:00
scenario1,windy,fixed,DE0 330 H2,8.31305358,49.00906475,73.66588781234101,73.6659255257419,7.633637151371767e-08,3.180682149009995e-09,2025-10-26 14:00:00
scenario1,windy,fixed,DE0 17 H2,8.24847389,48.84631517,73.06521754312537,73.06525615231953,7.633599345112859e-08,3.1806664070241713e-09,2025-10-26 09:00:00
scenario1,windy,fixed,DE0 177 H2,8.1001077,48.7070611,72.37519785913058,72.37523672576944,7.633544925006561e-08,3.1806437335715808e-09,2025-10-26 13:00:00
scenario1,windy,fixed,DE0 129 H2,8.321627,49.0416916,72.19072721593109,72.19076204005101,7.633524029035159e-08,3.1806350280428004e-09,2025-10-26 13:00:00
scenario2,windvariability,fixed,DE0 330 H2,8.31305358,49.00906475,139.065687199893,139.06571344402332,6.863034471083391e-07,2.859597697036794e-08,2025-10-06 12:00:00
scenario2,windvariability,fixed,DE0 17 H2,8.24847389,48.84631517,138.63718502336474,138.63721135649044,6.863005021208602e-07,2.8595854262581087e-08,2025-10-06 12:00:00
scenario2,windvariability,fixed,DE0 177 H2,8.1001077,48.7070611,138.14453535015525,138.14456188269887,6.862971220094077e-07,2.8595713424660615e-08,2025-10-06 12:00:00
scenario2,windvariability,fixed,DE0 85 H2,7.90843964,48.50156581,136.62904030845723,136.62906721150574,6.862867160839985e-07,2.8595279844541382e-08,2025-10-06 12:00:00
scenario2,windvariability,fixed,DE0 129 H2,8.321627,49.0416916,134.99386869916077,134.99389565916255,6.862754552372586e-07,2.8594810642610795e-08,2025-10-06 12:00:00
scenario2,windy,fixed,DE0 330 H2,8.31305358,49.00906475,54.03121246092644,54.031247139763025,8.839584545101527e-08,3.6831608974319076e-09,2025-10-26 09:00:00
scenario2,windy,fixed,DE0 17 H2,8.24847389,48.84631517,53.64637444494671,53.64640960545622,8.83947471095393e-08,3.6831150758734197e-09,2025-10-26 09:00:00
scenario2,windy,fixed,DE0 177 H2,8.1001077,48.7070611,53.15999833333175,53.160033866359754,8.839407388104496e-08,3.683086841918639e-09,2025-10-26 07:00:00
scenario2,windy,fixed,DE0 85 H2,7.90843964,48.50156581,52.33596750653604,52.3360037490375,8.839318134342395e-08,3.6830498131138484e-09,2025-10-26 07:00:00
scenario2,windy,fixed,DE0 129 H2,8.321627,49.0416916,52.016729561494095,52.01676275590344,8.839247706335883e-08,3.6830204331639266e-09,2025-10-26 08:00:00
